zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6930,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6931,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6932,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6933,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6934,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6935,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6936,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6937,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6938,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6939,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6940,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6941,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6942,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
6943,1 BHK Apartment for Sale in Kandivali West Mumbai,,Pooja Enclave,Ready to Move,Resale,Semi-Furnished,,2,90 Lac 
6944,2 BHK Apartment for Sale in Kandivali West Mumbai,650 sqft,Aman Spring,Ready to Move,Resale,Furnished,,2,1.60 Cr 
6945,3 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,Resale,Unfurnished,1 Open,3,1.80 Cr 
6946,1 BHK Apartment for Sale in Kandivali West Mumbai,430 sqft,Blue Ocean,Ready to Move,Resale,Unfurnished,,1,95 Lac 
6947,2 BHK Apartment for Sale in Kandivali West Mumbai,,Paras Apartment,Ready to Move,Resale,Semi-Furnished,,2,1.80 Cr 
